rt,button_pressed,test_part,utt,box,left_obj,right_obj,responses,subid,selected_obj,accuracy
13236.99999973178,0,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,1,complex.png,1
4363.000000361353,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,1,simple.png,1
25004.00000018999,NA,comment,,,,,Because it was really hot,1,,0
3618.0000002495944,0,,,,,,,1,,0
2091.8299999902956,0,obj_selection,complex_utt,img/lostbox2b.png,complex.png,simple.png,,2,complex.png,1
1232.845000049565,1,obj_selection,simple_utt,img/lostbox2b.png,complex.png,simple.png,,2,simple.png,1
20234.055000008084,NA,comment,,,,,There was too little information but to guess,2,,0
1045.925000042189,0,,,,,,,2,,0
10780.00000026077,0,obj_selection,simple_utt,img/lostbox2b.png,complex.png,simple.png,,3,complex.png,0
2653.9999996311963,0,obj_selection,complex_utt,img/lostbox2b.png,complex.png,simple.png,,3,complex.png,1
63719.99999973923,NA,comment,,,,,"It is choose the object into the box.So,i choose the objects.",3,,0
1949.0000000223517,0,,,,,,,3,,0
3004.4199999999837,1,obj_selection,complex_utt,img/lostbox2a.png,simple.png,complex.png,,4,complex.png,1
1369.1549999998533,0,obj_selection,simple_utt,img/lostbox2a.png,simple.png,complex.png,,4,simple.png,1
36949.345,NA,comment,,,,,The alien that said the longer sentence was probably describing the item he lost and the item I chose was more detailed compared to the other object.,4,,0
14320.560000000114,0,,,,,,,4,,0
2026.4099999330938,0,obj_selection,complex_utt,img/lostbox2a.png,simple.png,complex.png,,5,simple.png,0
1173.644999973476,0,obj_selection,simple_utt,img/lostbox2a.png,simple.png,complex.png,,5,simple.png,1
10028.289999812841,NA,comment,,,,,bal,5,,0
1919.5300000719726,0,,,,,,,5,,0
6825.470000039786,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,6,simple.png,1
3084.614999999758,1,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,6,complex.png,1
49467.829999979585,NA,comment,,,,,"I felt the simpler object, the ball, was best described by the first alien's short description. The second object was as complex as the second alien's description.",6,,0
1443.7199999811128,0,,,,,,,6,,0
9965.250000124797,1,obj_selection,complex_utt,img/lostbox2b.png,complex.png,simple.png,,7,simple.png,0
2339.3950001336634,0,obj_selection,simple_utt,img/lostbox2b.png,complex.png,simple.png,,7,complex.png,0
32989.659999962896,NA,comment,,,,,I felt the specificity in the response described the item,7,,0
2395.429999800399,0,,,,,,,7,,0
8534.56499997992,1,obj_selection,simple_utt,img/lostbox2b.png,complex.png,simple.png,,8,simple.png,1
3323.554999951739,0,obj_selection,complex_utt,img/lostbox2b.png,complex.png,simple.png,,8,complex.png,1
40261.15999999456,NA,comment,,,,,The names seem to fit the object based on the length of the word. ,8,,0
1743.7749999808148,0,,,,,,,8,,0
34265.00000001397,0,obj_selection,simple_utt,img/lostbox2b.png,simple.png,complex.png,,9,simple.png,1
12971.000000019558,1,obj_selection,complex_utt,img/lostbox2b.png,simple.png,complex.png,,9,complex.png,1
67738.99999994319,NA,comment,,,,,Because task instruction,9,,0
4141.999999992549,0,,,,,,,9,,0
5290.789999999106,1,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,10,simple.png,1
25629.749999992782,1,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,10,simple.png,0
12344.104999996489,NA,comment,,,,,"I kind of guessed, I wasn't too sure from the language.",10,,0
1832.6000000088243,0,,,,,,,10,,0
18439.99999994412,1,obj_selection,simple_utt,img/lostbox2a.png,simple.png,complex.png,,11,complex.png,0
2297.000000020489,1,obj_selection,complex_utt,img/lostbox2a.png,simple.png,complex.png,,11,complex.png,1
17903.999999864027,NA,comment,,,,,good,11,,0
4287.000000011176,0,,,,,,,11,,0
16237.335000012536,0,obj_selection,simple_utt,img/lostbox2a.png,complex.png,simple.png,,12,complex.png,0
8693.66499996977,1,obj_selection,complex_utt,img/lostbox2a.png,complex.png,simple.png,,12,simple.png,0
