rt,button_pressed,test_part,utt,box,left_obj,right_obj,responses,subid,selected_obj,accuracy
3034.999999916181,0,obj_selection,simple_utt,img/lostbox4a.png,complex.png,simple.png,,1,complex.png,1
786.0000000800937,0,obj_selection,complex_utt,img/lostbox4a.png,complex.png,simple.png,,1,complex.png,0
10739.999999990687,NA,comment,,,,,seemed right,1,,0
1438.0000000819564,0,,,,,,,1,,0
9442.675000056624,0,obj_selection,simple_utt,img/lostbox4c.png,complex.png,simple.png,,2,complex.png,1
5218.065000139177,0,obj_selection,complex_utt,img/lostbox4c.png,complex.png,simple.png,,2,complex.png,0
17644.22000013292,NA,comment,,,,,its different attractive from others,2,,0
4011.850000359118,0,,,,,,,2,,0
25362.999999895692,1,obj_selection,simple_utt,img/lostbox4b.png,complex.png,simple.png,,3,simple.png,0
1180.9999998658895,1,obj_selection,complex_utt,img/lostbox4b.png,complex.png,simple.png,,3,simple.png,1
4820.999999996275,NA,comment,,,,,Bado mep,3,,0
1219.0000000409782,0,,,,,,,3,,0
4339.064999949187,1,obj_selection,complex_utt,img/lostbox4b.png,complex.png,simple.png,,4,simple.png,1
2215.2850000420585,0,obj_selection,simple_utt,img/lostbox4b.png,complex.png,simple.png,,4,complex.png,1
48594.879999989644,NA,comment,,,,,They seemed to match the other aliens. There were also three similar objects of different colors. This would take longer to explain than the one object that is different from the others. ,4,,0
4093.6300000175834,0,,,,,,,4,,0
5206.160000059754,1,obj_selection,complex_utt,img/lostbox4a.png,simple.png,complex.png,,5,complex.png,0
1634.235000004992,0,obj_selection,simple_utt,img/lostbox4a.png,simple.png,complex.png,,5,simple.png,0
12466.840000008233,NA,comment,,,,,simpler words = simpler object,5,,0
1471.650000079535,0,,,,,,,5,,0
26005.84500003606,0,obj_selection,simple_utt,img/lostbox4c.png,simple.png,complex.png,,6,simple.png,0
8113.33499988541,1,obj_selection,complex_utt,img/lostbox4c.png,simple.png,complex.png,,6,complex.png,0
28041.955000022426,NA,comment,,,,,bado mep,6,,0
1930.9249999932945,0,,,,,,,6,,0
10969.600000011269,1,obj_selection,complex_utt,img/lostbox4c.png,complex.png,simple.png,,7,simple.png,1
9835.585000051651,0,obj_selection,simple_utt,img/lostbox4c.png,complex.png,simple.png,,7,complex.png,1
21157.145000004675,NA,comment,,,,,likely and loveable,7,,0
52444.27999999607,0,,,,,,,7,,0
1114.9549999972805,0,obj_selection,simple_utt,img/lostbox4c.png,simple.png,complex.png,,8,simple.png,0
648.250000027474,0,obj_selection,complex_utt,img/lostbox4c.png,simple.png,complex.png,,8,simple.png,1
5281.584999989718,NA,comment,,,,,NICE,8,,0
3836.775000032503,0,,,,,,,8,,0
4937.739999964833,1,obj_selection,complex_utt,img/lostbox4c.png,simple.png,complex.png,,9,complex.png,0
3000.050000147894,1,obj_selection,simple_utt,img/lostbox4c.png,simple.png,complex.png,,9,complex.png,1
33376.72999990173,NA,comment,,,,,It's the most alien like object and I thin they both lost it.,9,,0
1779.6449998859316,0,,,,,,,9,,0
3460.7400000095367,1,obj_selection,complex_utt,img/lostbox4a.png,complex.png,simple.png,,10,simple.png,1
1986.5699999500066,1,obj_selection,simple_utt,img/lostbox4a.png,complex.png,simple.png,,10,simple.png,0
8062.800000188872,NA,comment,,,,,Bado mep,10,,0
1637.6300000119954,0,,,,,,,10,,0
3734.470000024885,1,obj_selection,complex_utt,img/lostbox4a.png,simple.png,complex.png,,11,complex.png,0
1190.3800000436604,1,obj_selection,simple_utt,img/lostbox4a.png,simple.png,complex.png,,11,complex.png,1
88780.6499999715,NA,comment,,,,,this object is see different alien style,11,,0
4356.8799999775365,0,,,,,,,11,,0
54226.51500000211,0,obj_selection,complex_utt,img/lostbox4c.png,complex.png,simple.png,,12,complex.png,0
3453.7049999999,1,obj_selection,simple_utt,img/lostbox4c.png,complex.png,simple.png,,12,simple.png,0
25775.179999996908,NA,comment,,,,,because i like it,12,,0
1824.9649999997928,0,,,,,,,12,,0
4996.944999999876,1,obj_selection,simple_utt,img/lostbox4a.png,complex.png,simple.png,,13,simple.png,0
2609.340000000884,0,obj_selection,complex_utt,img/lostbox4a.png,complex.png,simple.png,,13,complex.png,0
25093.69499999957,NA,comment,,,,,the ball seemed simple so I felt it would have less words to describe it.,13,,0
4013.7999999997264,0,,,,,,,13,,0
3040.000000000873,1,obj_selection,complex_utt,img/lostbox4c.png,complex.png,simple.png,,14,simple.png,1
